trial,phase,dataset,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution,accuracy,inference_ms,param_count,objective_accuracy,objective_neg_infer_ms,objective_neg_params_m,wall_time_s
0,init,cifar10,depthwise_separable,1,128,64,0.0003,16,10,0.4,SGD,32,0.475,69.77313177933684,31050,0.475,-69.77313177933684,-0.03105,426.30846095085144
1,init,cifar10,plain,3,16,256,0.0001,64,15,0.1,Adam,16,0.6171,40.11738614231581,43018,0.6171,-40.11738614231581,-0.043018,195.09456419944763
2,init,cifar10,plain,2,32,32,3e-05,64,5,0.1,Adam,16,0.3866,28.94786358391866,21994,0.3866,-28.94786358391866,-0.021994,71.89813947677612
3,init,cifar10,depthwise_separable,4,8,128,0.01,32,12,0.5,SGD,32,0.6472,111.69543661235366,8514,0.6472,-111.69543661235366,-0.008514,388.0519013404846
4,init,cifar10,residual,2,32,128,0.003,16,8,0.0,Adam,16,0.7281,76.15450203878572,88234,0.7281,-76.15450203878572,-0.088234,470.5405902862549
5,init,cifar10,plain,4,128,32,1e-05,32,12,0.5,SGD,32,0.492,79.94287642627023,3858282,0.492,-79.94287642627023,-3.858282,385.1076579093933
6,init,cifar10,residual,1,8,256,0.0001,64,8,0.3,SGD,32,0.3106,39.84744963189587,6402,0.3106,-39.84744963189587,-0.006402,112.73285412788391
7,init,cifar10,depthwise_separable,3,64,64,0.003,16,15,0.2,Adam,16,0.7075,98.39160889404593,68490,0.7075,-98.39160889404593,-0.06849,855.2044658660889
8,init,cifar10,depthwise_separable,2,8,32,3e-05,32,5,0.0,Adam,32,0.2888,61.25258529745042,1570,0.2888,-61.25258529745042,-0.00157,155.83578372001648
9,init,cifar10,residual,4,64,128,0.001,64,12,0.5,SGD,16,0.7146,140.46583845821442,2512330,0.7146,-140.46583845821442,-2.51233,312.2613105773926
10,init,cifar10,plain,1,16,64,0.01,32,8,0.3,SGD,16,0.4287,10.775317845633253,2218,0.4287,-10.775317845633253,-0.002218,143.4136188030243
11,init,cifar10,residual,3,128,256,1e-05,16,12,0.2,Adam,32,0.7703,207.2762191160582,5044618,0.7703,-207.2762191160582,-5.044618,1149.2395968437195
12,init,cifar10,residual,1,32,256,1e-05,32,10,0.3,SGD,16,0.2673,42.96059524070006,31722,0.2673,-42.96059524070006,-0.031722,247.5449981689453
13,init,cifar10,plain,3,8,64,0.003,64,15,0.1,Adam,32,0.6331,43.013093474612106,8906,0.6331,-43.013093474612106,-0.008906,196.27750515937805
14,init,cifar10,plain,2,64,128,0.001,32,5,0.1,Adam,32,0.6208,40.62372354406398,93834,0.6208,-40.62372354406398,-0.093834,126.56502223014832
15,init,cifar10,depthwise_separable,4,16,32,0.0003,16,10,0.4,SGD,16,0.4684,103.08914034656482,11866,0.4684,-103.08914034656482,-0.011866,586.8644647598267
16,init,cifar10,depthwise_separable,2,64,256,0.01,64,15,0.0,SGD,32,0.7051,98.16390229237732,51914,0.7051,-98.16390229237732,-0.051914,271.3255670070648
17,init,cifar10,plain,4,8,64,3e-05,32,10,0.4,Adam,16,0.4732,39.141324424010236,18218,0.4732,-39.141324424010236,-0.018218,254.97906064987183
18,init,cifar10,plain,1,128,128,0.0001,16,10,0.3,Adam,16,0.4355,18.652562040660996,21642,0.4355,-18.652562040660996,-0.021642,347.4706320762634
19,init,cifar10,depthwise_separable,3,32,32,0.0003,32,5,0.1,SGD,32,0.438,108.47834472422255,18890,0.438,-108.47834472422255,-0.01889,187.30504369735718
20,bo,cifar10,plain,4,16,256,0.01,16,12,0.1,Adam,16,0.6662,50.29274349112529,80074,0.6662,-50.29274349112529,-0.080074,578.1949410438538
21,bo,cifar10,plain,1,64,128,0.003,32,8,0.3,Adam,32,0.4874,21.873061337857507,11530,0.4874,-21.873061337857507,-0.01153,158.89136934280396
22,bo,cifar10,depthwise_separable,3,32,128,0.01,16,8,0.2,Adam,16,0.6128,100.33508202451048,32234,0.6128,-100.33508202451048,-0.032234,486.3957872390747
23,bo,cifar10,residual,3,32,256,0.003,64,15,0.0,Adam,32,0.8368,137.56687153631356,344746,0.8368,-137.56687153631356,-0.344746,411.2626883983612
24,bo,cifar10,plain,4,8,64,0.001,64,15,0.0,Adam,32,0.708,57.26813500869321,18218,0.708,-57.26813500869321,-0.018218,218.12445759773254
25,bo,cifar10,residual,2,64,32,0.01,32,15,0.0,Adam,16,0.7395,76.46960845962167,315306,0.7395,-76.46960845962167,-0.315306,450.9968686103821
26,bo,cifar10,plain,4,8,32,0.001,16,15,0.3,Adam,16,0.6246,39.62013590033166,16842,0.6246,-39.62013590033166,-0.016842,705.494612455368
27,bo,cifar10,residual,1,16,64,0.01,64,15,0.0,Adam,16,0.6059,35.686871737998445,7226,0.6059,-35.686871737998445,-0.007226,200.26479935646057
28,bo,cifar10,plain,2,16,64,0.01,64,5,0.0,Adam,16,0.5294,24.76911774353357,7946,0.5294,-24.76911774353357,-0.007946,68.60104179382324
29,bo,cifar10,plain,2,32,128,0.0003,16,15,0.2,Adam,32,0.5861,28.90784946846543,29194,0.5861,-28.90784946846543,-0.029194,635.2806890010834
30,bo,cifar10,depthwise_separable,1,64,32,0.003,16,5,0.1,Adam,16,0.5029,39.777820153336506,9386,0.5029,-39.777820153336506,-0.009386,239.89535570144653
31,bo,cifar10,depthwise_separable,2,16,256,0.01,16,15,0.5,Adam,16,0.5424,57.95163671777118,12794,0.5424,-57.95163671777118,-0.012794,737.0857493877411
32,bo,cifar10,residual,3,8,128,0.003,32,15,0.0,Adam,16,0.6738,86.6611072057276,25394,0.6738,-86.6611072057276,-0.025394,509.3558621406555
33,bo,cifar10,plain,3,16,128,0.001,64,12,0.5,Adam,32,0.6731,42.991754560382105,33418,0.6731,-42.991754560382105,-0.033418,165.85668921470642
34,bo,cifar10,plain,1,32,256,0.001,64,5,0.0,Adam,16,0.4554,14.513008983805776,11978,0.4554,-14.513008983805776,-0.011978,57.12533211708069
35,bo,cifar10,plain,3,64,128,0.003,32,15,0.0,Adam,32,0.7895,54.62010249728337,405898,0.7895,-54.62010249728337,-0.405898,376.8326156139374
36,bo,cifar10,depthwise_separable,2,64,128,0.01,16,5,0.0,Adam,32,0.6828,97.6105755433673,34122,0.6828,-97.6105755433673,-0.034122,296.00650668144226
37,bo,cifar10,plain,1,128,128,0.003,64,15,0.0,Adam,16,0.5361,18.251880290161353,21642,0.5361,-18.251880290161353,-0.021642,152.02905440330505
38,bo,cifar10,plain,3,32,32,0.003,64,12,0.0,Adam,16,0.7009,43.0994653221569,98154,0.7009,-43.0994653221569,-0.098154,166.2040548324585
39,bo,cifar10,plain,2,64,256,0.001,64,15,0.0,Adam,16,0.6345,32.81462168239523,111626,0.6345,-32.81462168239523,-0.111626,178.2931740283966
40,bo,cifar10,plain,2,128,256,0.001,16,5,0.0,Adam,32,0.6345,51.697196744789835,367882,0.6345,-51.697196744789835,-0.367882,236.2344467639923
41,bo,cifar10,plain,1,32,32,0.01,16,5,0.1,SGD,16,0.4275,14.227296590455808,2346,0.4275,-14.227296590455808,-0.002346,173.79649901390076
42,bo,cifar10,plain,1,64,32,0.0003,64,15,0.2,Adam,16,0.4314,14.49280518235173,4330,0.4314,-14.49280518235173,-0.00433,148.96795773506165
43,bo,cifar10,plain,1,128,256,0.001,16,15,0.3,SGD,16,0.4758,18.148636322061066,39434,0.4758,-18.148636322061066,-0.039434,490.49997425079346
44,bo,cifar10,residual,3,64,256,0.003,32,12,0.0,Adam,16,0.765,111.78872833424248,1299018,0.765,-111.78872833424248,-1.299018,448.0124707221985
45,bo,cifar10,depthwise_separable,2,64,64,0.003,64,15,0.0,Adam,32,0.7317,95.18018399603898,25226,0.7317,-95.18018399603898,-0.025226,271.64048504829407
46,bo,cifar10,plain,4,16,32,0.01,64,15,0.3,Adam,32,0.7478,57.07211867038859,63274,0.7478,-57.07211867038859,-0.063274,219.26398468017578
47,bo,cifar10,depthwise_separable,1,8,128,0.01,64,15,0.0,Adam,16,0.4585,32.7020285364124,2866,0.4585,-32.7020285364124,-0.002866,188.11291646957397
48,bo,cifar10,residual,3,32,64,0.01,64,15,0.2,Adam,32,0.8289,135.1115328539163,318058,0.8289,-135.1115328539163,-0.318058,411.20493030548096
49,bo,cifar10,plain,3,64,128,0.0003,32,15,0.0,Adam,32,0.7852,55.65217949432554,405898,0.7852,-55.65217949432554,-0.405898,377.3728537559509
50,bo,cifar10,plain,1,64,64,0.01,32,15,0.0,SGD,16,0.4984,14.470546517521143,6730,0.4984,-14.470546517521143,-0.00673,258.0424437522888
51,bo,cifar10,plain,2,32,256,0.003,16,15,0.0,Adam,16,0.6511,28.497060332621913,38794,0.6511,-28.497060332621913,-0.038794,619.4687275886536
52,bo,cifar10,plain,4,8,128,3e-05,16,15,0.0,Adam,32,0.6156,56.61599385354202,20970,0.6156,-56.61599385354202,-0.02097,715.1018860340118
53,bo,cifar10,plain,1,128,256,0.003,32,12,0.0,Adam,32,0.5427,29.585885718173813,39434,0.5427,-29.585885718173813,-0.039434,231.0372908115387
54,bo,cifar10,depthwise_separable,3,64,32,0.01,16,15,0.2,Adam,16,0.5214,96.90223961055744,59946,0.5214,-96.90223961055744,-0.059946,859.5497486591339
